Customer_ID,Age,Gender,City,Annual_Income,Total_Spending,Average_Order_Value,Purchase_Frequency,Preferred_Category,Discount_Usage,Days_Since_Last_Purchase,Customer_Lifetime_Months,Spending_To_Income_Ratio,Monthly_Spend_Velocity,Discount_Sensitivity,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,RFM_Sum,RFM_Segment,Predicted_CLV_3Yr,CLV_Tier,Cluster,Customer_Persona
LUM-1590,36,Female,Milan,75900.0,3046.35,179.2,17,Haircare,0.31,22,7,0.0401,435.19,Moderate,3,2,2,322,7,Potential Loyalists,8350.43,Platinum Tier 💎,3,At-Risk Customers ⚠️
LUM-1591,30,Male,Tokyo,22000.0,1215.0,243.0,5,Skincare,0.37,8,9,0.0552,135.0,High,4,1,1,411,6,Lost Customers,2590.38,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1592,41,Male,London,80800.0,3704.16,185.21,20,Haircare,0.12,61,12,0.0458,308.68,Low,1,3,3,133,7,Loyal Customers,5922.95,Gold Tier 🥇,0,VIP Cosmetics Enthusiasts ✨
LUM-1593,39,Female,Milan,22000.0,1031.37,128.92,8,Haircare,0.04,27,12,0.0469,85.95,Low,3,1,1,311,5,Need Attention,1649.21,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1594,47,Female,Paris,94500.0,4195.76,131.12,32,Makeup,0.08,5,53,0.0444,79.17,Low,5,5,4,554,14,Champions,1519.11,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1595,30,Female,Dubai,122000.0,4694.39,204.1,23,Bath & Body,0.46,24,59,0.0385,79.57,High,3,3,5,335,11,Loyal Customers,1526.79,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1596,33,Female,Tokyo,50500.0,2494.3,207.86,12,Haircare,0.07,18,30,0.0494,83.14,Low,4,1,2,412,7,Potential Loyalists,1595.29,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1597,25,Male,Paris,134600.0,5237.03,130.93,40,Fragrance,0.37,73,38,0.0389,137.82,High,1,5,5,155,11,Loyal Customers,2644.49,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1598,31,Female,Paris,114500.0,5177.46,139.93,37,Haircare,0.19,4,12,0.0452,431.46,Low,5,5,5,555,15,Champions,8278.85,Platinum Tier 💎,1,Frequent Buyers 🛍️
LUM-1599,40,Female,Dubai,127200.0,4685.78,246.62,19,Skincare,0.61,72,52,0.0368,90.11,High,1,3,5,135,9,Loyal Customers,1729.03,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1600,44,Female,Tokyo,91600.0,3534.02,98.17,36,Skincare,0.4,25,37,0.0386,95.51,High,3,5,3,353,11,Loyal Customers,1832.65,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1601,25,Male,Los Angeles,50300.0,1808.66,150.72,12,Skincare,0.37,18,55,0.036,32.88,High,4,1,1,411,6,Lost Customers,630.9,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1602,45,Female,Paris,112300.0,4101.47,91.14,45,Haircare,0.7,6,37,0.0365,110.85,High,5,5,4,554,14,Champions,2126.99,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1603,50,Female,Paris,63100.0,2922.44,224.8,13,Makeup,0.36,42,39,0.0463,74.93,High,2,1,2,212,5,Lost Customers,1437.76,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1604,40,Female,Tokyo,89100.0,4098.55,95.32,43,Fragrance,0.2,91,50,0.046,81.97,Moderate,1,5,4,154,10,Loyal Customers,1572.84,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1605,56,Male,New York,79000.0,3512.94,195.16,18,Haircare,0.13,16,22,0.0445,159.68,Low,4,2,3,423,9,Potential Loyalists,3063.94,Silver Tier 🥈,0,VIP Cosmetics Enthusiasts ✨
LUM-1606,27,Female,Paris,124400.0,4852.38,101.09,48,Makeup,0.43,9,15,0.039,323.49,High,4,5,5,455,14,Champions,6207.13,Gold Tier 🥇,1,Frequent Buyers 🛍️
LUM-1607,22,Female,London,110600.0,4102.92,195.38,21,Makeup,0.07,28,13,0.0371,315.61,Low,3,3,4,334,10,Loyal Customers,6055.92,Gold Tier 🥇,0,VIP Cosmetics Enthusiasts ✨
LUM-1608,18,Female,Tokyo,82200.0,3646.53,227.91,16,Haircare,0.52,55,47,0.0444,77.59,High,1,2,3,123,6,At Risk,1488.8,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1609,52,Female,Paris,22000.0,985.42,140.77,7,Haircare,0.61,1,21,0.0448,46.92,High,5,1,1,511,7,Lost Customers,900.3,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1610,43,Female,Dubai,62800.0,2293.31,163.81,14,Makeup,0.24,34,30,0.0365,76.44,Moderate,2,2,1,221,5,At Risk,1466.73,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1611,35,Male,Milan,109600.0,4243.46,146.33,29,Makeup,0.41,31,40,0.0387,106.09,High,3,4,4,344,11,Loyal Customers,2035.65,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1612,39,Female,London,94800.0,3207.82,133.66,24,Makeup,0.14,13,58,0.0338,55.31,Low,4,4,3,443,11,Loyal Customers,1061.29,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1613,23,Female,Milan,32400.0,1219.58,203.26,6,Haircare,0.21,21,47,0.0376,25.95,Moderate,3,1,1,311,5,Need Attention,497.93,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1614,62,Female,Milan,22000.0,1835.8,122.39,15,Makeup,0.57,9,6,0.0834,305.97,High,4,2,1,421,7,Lost Customers,5870.95,Gold Tier 🥇,3,At-Risk Customers ⚠️
LUM-1615,37,Male,Paris,91800.0,3242.96,202.68,16,Skincare,0.31,54,59,0.0353,54.97,Moderate,2,2,3,223,7,At Risk,1054.76,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1616,37,Female,London,48000.0,1823.56,113.97,16,Haircare,0.5,35,56,0.038,32.56,High,2,2,1,221,5,At Risk,624.76,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1617,43,Non-Binary,London,51400.0,2320.55,122.13,19,Skincare,0.3,26,39,0.0451,59.5,Moderate,3,3,1,331,7,Lost Customers,1141.69,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1618,41,Female,New York,108500.0,4334.67,135.46,32,Bath & Body,0.19,17,21,0.04,206.41,Low,4,5,4,454,13,Champions,3960.6,Silver Tier 🥈,1,Frequent Buyers 🛍️
LUM-1619,38,Female,Milan,127100.0,4878.11,180.67,27,Haircare,0.33,12,39,0.0384,125.08,Moderate,4,4,5,445,13,Champions,2400.04,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1620,27,Female,London,58700.0,1953.49,162.79,12,Bath & Body,0.38,60,55,0.0333,35.52,High,1,1,1,111,3,Lost Customers,681.56,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1621,41,Female,New York,83400.0,3673.55,204.09,18,Makeup,0.49,21,16,0.044,229.6,High,3,2,3,323,8,Potential Loyalists,4405.56,Silver Tier 🥈,0,VIP Cosmetics Enthusiasts ✨
LUM-1622,56,Female,Tokyo,82400.0,3251.08,116.11,28,Makeup,0.28,24,33,0.0395,98.52,Moderate,3,4,3,343,10,Loyal Customers,1890.4,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1623,50,Female,New York,79300.0,3641.63,80.93,45,Fragrance,0.43,25,30,0.0459,121.39,High,3,5,3,353,11,Loyal Customers,2329.23,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1624,53,Female,Dubai,86400.0,3330.55,208.16,16,Makeup,0.26,20,38,0.0385,87.65,Moderate,3,2,3,323,8,Potential Loyalists,1681.83,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1625,30,Male,Los Angeles,111500.0,4697.25,223.68,21,Bath & Body,0.51,10,46,0.0421,102.11,High,4,3,5,435,12,Loyal Customers,1959.29,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1626,25,Female,Paris,61400.0,3037.83,89.35,34,Makeup,0.38,4,40,0.0495,75.95,High,5,5,2,552,12,Potential Loyalists,1457.33,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1627,34,Male,Tokyo,31600.0,1465.92,183.24,8,Haircare,0.28,3,21,0.0464,69.81,Moderate,5,1,1,511,7,Lost Customers,1339.51,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1628,36,Female,Los Angeles,144200.0,5811.14,145.28,40,Makeup,0.12,49,44,0.0403,132.07,Low,2,5,5,255,12,Loyal Customers,2534.16,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1629,48,Female,Los Angeles,123100.0,4409.94,210.0,21,Fragrance,0.37,8,3,0.0358,1469.98,High,4,3,4,434,11,Loyal Customers,28205.98,Platinum Tier 💎,0,VIP Cosmetics Enthusiasts ✨
LUM-1630,18,Female,Tokyo,46400.0,2203.11,220.31,10,Makeup,0.37,2,25,0.0475,88.12,High,5,1,1,511,7,Lost Customers,1690.85,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1631,52,Female,Dubai,89700.0,4006.17,222.56,18,Bath & Body,0.25,55,57,0.0447,70.28,Moderate,1,2,4,124,7,At Risk,1348.53,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1632,34,Female,New York,120400.0,4869.55,211.72,23,Bath & Body,0.26,5,30,0.0404,162.32,Moderate,5,3,5,535,13,Loyal Customers,3114.6,Silver Tier 🥈,0,VIP Cosmetics Enthusiasts ✨
LUM-1633,31,Female,Paris,111200.0,5113.87,124.73,41,Makeup,0.17,34,50,0.046,102.28,Low,2,5,5,255,12,Loyal Customers,1962.55,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1634,24,Female,New York,101200.0,4214.31,221.81,19,Bath & Body,0.26,14,6,0.0416,702.39,Moderate,4,3,4,434,11,Loyal Customers,13477.46,Platinum Tier 💎,0,VIP Cosmetics Enthusiasts ✨
LUM-1635,18,Female,London,79000.0,3155.42,175.3,18,Bath & Body,0.65,4,43,0.0399,73.38,High,5,2,3,523,10,Potential Loyalists,1408.02,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1636,45,Female,New York,145500.0,6444.77,134.27,48,Fragrance,0.27,18,20,0.0443,322.24,Moderate,4,5,5,455,14,Champions,6183.14,Gold Tier 🥇,1,Frequent Buyers 🛍️
LUM-1637,36,Male,Tokyo,92700.0,4234.61,156.84,27,Haircare,0.25,1,51,0.0457,83.03,Moderate,5,4,4,544,13,Champions,1593.18,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1638,21,Male,Paris,67000.0,2364.13,236.41,10,Fragrance,0.06,64,49,0.0353,48.25,Low,1,1,1,111,3,Lost Customers,925.82,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1639,21,Male,New York,115500.0,4307.25,226.7,19,Skincare,0.22,25,53,0.0373,81.27,Moderate,3,3,4,334,10,Loyal Customers,1559.41,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1640,32,Male,Paris,88400.0,3282.55,96.55,34,Fragrance,0.21,5,41,0.0371,80.06,Moderate,5,5,3,553,13,Loyal Customers,1536.19,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1641,54,Female,Paris,97200.0,4095.69,204.78,20,Makeup,0.43,9,27,0.0421,151.69,High,4,3,4,434,11,Loyal Customers,2910.63,Silver Tier 🥈,0,VIP Cosmetics Enthusiasts ✨
LUM-1642,33,Female,London,92100.0,3894.85,216.38,18,Haircare,0.26,20,20,0.0423,194.74,Moderate,3,2,4,324,9,Potential Loyalists,3736.67,Silver Tier 🥈,0,VIP Cosmetics Enthusiasts ✨
LUM-1643,19,Male,London,102400.0,4253.04,125.09,34,Makeup,0.19,7,8,0.0415,531.63,Low,5,5,4,554,14,Champions,10200.92,Platinum Tier 💎,1,Frequent Buyers 🛍️
LUM-1644,33,Female,Tokyo,50800.0,1789.03,162.64,11,Skincare,0.35,10,21,0.0352,85.19,High,4,1,1,411,6,Lost Customers,1634.63,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1645,33,Female,Dubai,34200.0,1505.57,215.08,7,Haircare,0.52,26,55,0.044,27.37,High,3,1,1,311,5,Need Attention,525.18,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1646,18,Female,Los Angeles,135200.0,5187.21,152.56,34,Bath & Body,0.07,62,14,0.0384,370.52,Low,1,5,5,155,11,Loyal Customers,7109.54,Gold Tier 🥇,1,Frequent Buyers 🛍️
LUM-1647,35,Female,Paris,93700.0,3232.92,97.97,33,Fragrance,0.13,17,27,0.0345,119.74,Low,4,5,3,453,12,Loyal Customers,2297.57,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1648,33,Female,Dubai,112000.0,4158.45,198.02,21,Makeup,0.27,44,37,0.0371,112.39,Moderate,2,3,4,234,9,Loyal Customers,2156.54,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1649,43,Male,Los Angeles,23400.0,1725.93,246.56,7,Skincare,0.15,73,3,0.0738,575.31,Low,1,1,1,111,3,Lost Customers,11039.05,Platinum Tier 💎,3,At-Risk Customers ⚠️
LUM-1650,56,Female,Los Angeles,122300.0,4314.28,187.58,23,Bath & Body,0.13,8,7,0.0353,616.33,Low,4,3,4,434,11,Loyal Customers,11826.14,Platinum Tier 💎,0,VIP Cosmetics Enthusiasts ✨
LUM-1651,48,Female,Tokyo,66700.0,3271.08,218.07,15,Fragrance,0.15,57,3,0.049,1090.36,Low,1,2,3,123,6,At Risk,20921.83,Platinum Tier 💎,3,At-Risk Customers ⚠️
LUM-1652,33,Non-Binary,Los Angeles,56800.0,2815.34,140.77,20,Bath & Body,0.16,49,10,0.0496,281.53,Low,2,3,2,232,7,At Risk,5402.0,Gold Tier 🥇,3,At-Risk Customers ⚠️
LUM-1653,23,Female,Los Angeles,82800.0,3310.78,110.36,30,Fragrance,0.46,15,41,0.04,80.75,High,4,4,3,443,11,Loyal Customers,1549.43,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1654,64,Female,Paris,50800.0,2083.34,189.39,11,Haircare,0.09,159,49,0.041,42.52,Low,1,1,1,111,3,Lost Customers,815.87,Bronze Tier 🥉,2,Budget Conscious 💄
LUM-1655,36,Female,Paris,84900.0,3721.05,137.82,27,Bath & Body,0.34,10,45,0.0438,82.69,Moderate,4,4,3,443,11,Loyal Customers,1586.66,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1656,36,Male,Milan,80200.0,3070.68,219.33,14,Bath & Body,0.14,10,20,0.0383,153.53,Low,4,2,2,422,8,Potential Loyalists,2945.93,Silver Tier 🥈,3,At-Risk Customers ⚠️
LUM-1657,35,Male,Dubai,122100.0,4552.1,101.16,45,Bath & Body,0.24,51,48,0.0373,94.84,Moderate,2,5,4,254,11,Loyal Customers,1819.79,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1658,38,Female,New York,138000.0,5322.84,152.08,35,Haircare,0.25,19,11,0.0386,483.89,Moderate,3,5,5,355,13,Loyal Customers,9284.88,Platinum Tier 💎,1,Frequent Buyers 🛍️
LUM-1659,34,Male,London,136900.0,4652.43,145.39,32,Skincare,0.17,14,7,0.034,664.63,Low,4,5,5,455,14,Champions,12752.92,Platinum Tier 💎,1,Frequent Buyers 🛍️
LUM-1660,29,Female,New York,22000.0,835.01,278.34,3,Fragrance,0.37,6,57,0.038,14.65,High,5,1,1,511,7,Lost Customers,281.1,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1661,29,Male,Dubai,52300.0,2235.8,106.47,21,Bath & Body,0.49,50,6,0.0427,372.63,High,2,3,1,231,6,At Risk,7150.02,Gold Tier 🥇,3,At-Risk Customers ⚠️
LUM-1662,35,Male,London,22000.0,1412.71,83.1,17,Haircare,0.06,54,46,0.0642,30.71,Low,2,2,1,221,5,At Risk,589.26,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1663,30,Male,New York,43200.0,1771.53,118.1,15,Skincare,0.19,29,31,0.041,57.15,Low,3,2,1,321,6,Need Attention,1096.59,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1664,28,Female,Milan,62300.0,2621.22,218.43,12,Fragrance,0.8,110,3,0.0421,873.74,High,1,1,2,112,4,Lost Customers,16765.32,Platinum Tier 💎,2,Budget Conscious 💄
LUM-1665,37,Non-Binary,London,99400.0,3494.96,116.5,30,Haircare,0.13,13,32,0.0352,109.22,Low,4,4,3,443,11,Loyal Customers,2095.71,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1666,33,Male,Paris,66800.0,3117.75,119.91,26,Fragrance,0.05,8,58,0.0467,53.75,Low,4,4,2,442,10,Potential Loyalists,1031.36,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1667,52,Female,New York,67800.0,2939.02,101.35,29,Bath & Body,0.57,39,47,0.0433,62.53,High,2,4,2,242,8,At Risk,1199.83,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1668,18,Male,London,91400.0,3791.56,199.56,19,Skincare,0.17,49,3,0.0415,1263.85,Low,2,3,3,233,8,Loyal Customers,24250.75,Platinum Tier 💎,0,VIP Cosmetics Enthusiasts ✨
LUM-1669,48,Female,Milan,25200.0,1528.48,89.91,17,Haircare,0.22,8,5,0.0607,305.7,Moderate,4,2,1,421,7,Lost Customers,5865.77,Gold Tier 🥇,3,At-Risk Customers ⚠️
LUM-1670,49,Male,Los Angeles,55600.0,2469.44,137.19,18,Skincare,0.05,2,24,0.0444,102.89,Low,5,2,2,522,9,Potential Loyalists,1974.25,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1671,18,Female,London,67400.0,2713.87,129.23,21,Bath & Body,0.27,58,10,0.0403,271.39,Moderate,1,3,2,132,6,At Risk,5207.43,Gold Tier 🥇,3,At-Risk Customers ⚠️
LUM-1672,32,Female,London,77900.0,3565.4,178.27,20,Skincare,0.23,131,58,0.0458,61.47,Moderate,1,3,3,133,7,Loyal Customers,1179.49,Bronze Tier 🥉,2,Budget Conscious 💄
LUM-1673,31,Female,Milan,87700.0,3616.56,200.92,18,Skincare,0.38,36,20,0.0412,180.83,High,2,2,3,223,7,At Risk,3469.77,Silver Tier 🥈,0,VIP Cosmetics Enthusiasts ✨
LUM-1674,20,Female,Los Angeles,137500.0,5262.78,169.77,31,Makeup,0.01,11,27,0.0383,194.92,Low,4,4,5,445,13,Champions,3740.12,Silver Tier 🥈,0,VIP Cosmetics Enthusiasts ✨
LUM-1675,27,Female,New York,116800.0,4585.4,241.34,19,Skincare,0.1,180,50,0.0393,91.71,Low,1,3,5,135,9,Loyal Customers,1759.73,Bronze Tier 🥉,2,Budget Conscious 💄
LUM-1676,23,Female,Tokyo,58100.0,2524.51,252.45,10,Fragrance,0.19,78,54,0.0435,46.75,Low,1,1,2,112,4,Lost Customers,897.04,Bronze Tier 🥉,2,Budget Conscious 💄
LUM-1677,55,Female,New York,75900.0,3103.77,141.08,22,Haircare,0.43,25,22,0.0409,141.08,High,3,3,2,332,8,Potential Loyalists,2707.04,Silver Tier 🥈,3,At-Risk Customers ⚠️
LUM-1678,46,Female,Los Angeles,73500.0,3206.33,213.76,15,Makeup,0.3,61,33,0.0436,97.16,Moderate,1,2,3,123,6,At Risk,1864.31,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1679,49,Female,Dubai,67000.0,2564.24,213.69,12,Haircare,0.14,59,32,0.0383,80.13,Low,1,1,2,112,4,Lost Customers,1537.53,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1680,43,Female,Milan,94500.0,3548.66,236.58,15,Haircare,0.3,95,18,0.0376,197.15,Moderate,1,2,3,123,6,At Risk,3782.91,Silver Tier 🥈,2,Budget Conscious 💄
LUM-1681,23,Female,New York,22000.0,1437.78,159.75,9,Bath & Body,0.54,64,4,0.0654,359.44,High,1,1,1,111,3,Lost Customers,6896.93,Gold Tier 🥇,3,At-Risk Customers ⚠️
LUM-1682,30,Male,London,115800.0,4509.43,173.44,26,Bath & Body,0.28,36,19,0.0389,237.34,Moderate,2,4,4,244,10,Loyal Customers,4554.08,Silver Tier 🥈,0,VIP Cosmetics Enthusiasts ✨
LUM-1683,41,Female,Milan,144300.0,5841.92,149.79,39,Makeup,0.19,32,12,0.0405,486.83,Low,2,5,5,255,12,Loyal Customers,9341.29,Platinum Tier 💎,1,Frequent Buyers 🛍️
LUM-1684,22,Male,Paris,75600.0,3268.66,217.91,15,Bath & Body,0.66,22,9,0.0432,363.18,High,3,2,3,323,8,Potential Loyalists,6968.7,Gold Tier 🥇,3,At-Risk Customers ⚠️
LUM-1685,43,Male,Los Angeles,74900.0,2955.71,118.23,25,Bath & Body,0.26,34,44,0.0395,67.18,Moderate,2,4,2,242,8,At Risk,1289.05,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1686,33,Female,New York,90500.0,3840.03,120.0,32,Bath & Body,0.24,55,53,0.0424,72.45,Moderate,1,5,4,154,10,Loyal Customers,1390.17,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1687,31,Female,Milan,120700.0,5083.66,145.25,35,Haircare,0.08,121,54,0.0421,94.14,Low,1,5,5,155,11,Loyal Customers,1806.36,Bronze Tier 🥉,2,Budget Conscious 💄
LUM-1688,43,Male,New York,73600.0,3210.09,118.89,27,Makeup,0.28,22,11,0.0436,291.83,Moderate,3,4,3,343,10,Loyal Customers,5599.63,Gold Tier 🥇,1,Frequent Buyers 🛍️
LUM-1689,40,Female,Milan,117700.0,4819.18,178.49,27,Haircare,0.38,29,56,0.0409,86.06,High,3,4,5,345,12,Loyal Customers,1651.32,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1690,32,Female,London,102100.0,4021.97,103.13,39,Fragrance,0.33,20,19,0.0394,211.68,Moderate,3,5,4,354,12,Loyal Customers,4061.72,Silver Tier 🥈,1,Frequent Buyers 🛍️
LUM-1691,48,Female,Paris,167700.0,6667.41,138.9,48,Haircare,0.12,38,11,0.0398,606.13,Low,2,5,5,255,12,Loyal Customers,11630.42,Platinum Tier 💎,1,Frequent Buyers 🛍️
LUM-1692,24,Male,Paris,73500.0,2898.29,241.52,12,Fragrance,0.38,34,11,0.0394,263.48,High,2,1,2,212,5,Lost Customers,5055.65,Gold Tier 🥇,3,At-Risk Customers ⚠️
LUM-1693,42,Female,Dubai,22000.0,1371.56,152.4,9,Skincare,0.27,1,39,0.0623,35.17,Moderate,5,1,1,511,7,Lost Customers,674.84,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1694,42,Female,Milan,34800.0,2488.85,207.4,12,Skincare,0.32,27,26,0.0715,95.72,Moderate,3,1,2,312,6,Potential Loyalists,1836.68,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1695,32,Non-Binary,New York,85400.0,3650.66,98.67,37,Fragrance,0.41,3,41,0.0427,89.04,High,5,5,3,553,13,Loyal Customers,1708.5,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1696,39,Male,Paris,121000.0,4608.79,121.28,38,Fragrance,0.19,1,13,0.0381,354.52,Low,5,5,5,555,15,Champions,6802.53,Gold Tier 🥇,1,Frequent Buyers 🛍️
LUM-1697,22,Female,Los Angeles,62200.0,2550.01,212.5,12,Haircare,0.24,54,10,0.041,255.0,Moderate,2,1,2,212,5,Lost Customers,4892.94,Silver Tier 🥈,3,At-Risk Customers ⚠️
LUM-1698,46,Female,Paris,76900.0,3170.1,211.34,15,Fragrance,0.3,10,27,0.0412,117.41,Moderate,4,2,3,423,9,Potential Loyalists,2252.86,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1699,33,Male,Tokyo,109000.0,4570.37,147.43,31,Makeup,0.27,14,48,0.0419,95.22,Moderate,4,4,5,445,13,Champions,1827.08,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1700,30,Female,Tokyo,51200.0,2335.73,233.57,10,Skincare,0.11,2,4,0.0456,583.93,Low,5,1,1,511,7,Lost Customers,11204.45,Platinum Tier 💎,3,At-Risk Customers ⚠️
LUM-1701,47,Female,Paris,63600.0,2531.44,230.13,11,Skincare,0.27,6,12,0.0398,210.95,Moderate,5,1,2,512,8,Potential Loyalists,4047.71,Silver Tier 🥈,3,At-Risk Customers ⚠️
LUM-1702,28,Female,Milan,44100.0,1848.41,231.05,8,Fragrance,0.19,50,55,0.0419,33.61,Low,2,1,1,211,4,Lost Customers,644.91,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1703,20,Male,Dubai,126200.0,4962.61,155.08,32,Bath & Body,0.2,23,26,0.0393,190.87,Moderate,3,5,5,355,13,Loyal Customers,3662.41,Silver Tier 🥈,1,Frequent Buyers 🛍️
LUM-1704,18,Female,Paris,139000.0,5377.72,114.42,47,Bath & Body,0.08,74,50,0.0387,107.55,Low,1,5,5,155,11,Loyal Customers,2063.67,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1705,42,Male,London,29700.0,1675.99,186.22,9,Fragrance,0.08,17,18,0.0564,93.11,Low,4,1,1,411,6,Lost Customers,1786.59,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1706,21,Male,New York,80000.0,3575.25,198.62,18,Makeup,0.16,10,21,0.0447,170.25,Low,4,2,3,423,9,Potential Loyalists,3266.76,Silver Tier 🥈,0,VIP Cosmetics Enthusiasts ✨
LUM-1707,55,Female,Dubai,134300.0,6018.71,125.39,48,Bath & Body,0.12,14,33,0.0448,182.39,Low,4,5,5,455,14,Champions,3499.7,Silver Tier 🥈,1,Frequent Buyers 🛍️
LUM-1708,18,Female,London,99000.0,3526.39,207.43,17,Fragrance,0.24,43,13,0.0356,271.26,Moderate,2,2,3,223,7,At Risk,5204.94,Gold Tier 🥇,0,VIP Cosmetics Enthusiasts ✨
LUM-1709,54,Female,Dubai,67900.0,3082.56,83.31,37,Makeup,0.36,28,8,0.0454,385.32,High,3,5,2,352,10,Potential Loyalists,7393.52,Gold Tier 🥇,1,Frequent Buyers 🛍️
LUM-1710,38,Female,London,30900.0,1610.99,161.1,10,Makeup,0.03,82,8,0.0521,201.37,Low,1,1,1,111,3,Lost Customers,3863.89,Silver Tier 🥈,3,At-Risk Customers ⚠️
LUM-1711,34,Female,New York,125400.0,4335.63,135.49,32,Haircare,0.08,32,34,0.0346,127.52,Low,2,5,4,254,11,Loyal Customers,2446.85,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1712,30,Male,New York,97600.0,4290.86,204.33,21,Makeup,0.12,23,41,0.044,104.66,Low,3,3,4,334,10,Loyal Customers,2008.22,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1713,40,Female,Tokyo,33400.0,1795.35,138.1,13,Bath & Body,0.23,53,50,0.0538,35.91,Moderate,2,1,1,211,4,Lost Customers,689.04,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1714,35,Male,Milan,126600.0,5170.94,224.82,23,Bath & Body,0.52,103,15,0.0408,344.73,High,1,3,5,135,9,Loyal Customers,6614.68,Gold Tier 🥇,2,Budget Conscious 💄
LUM-1715,48,Female,London,29000.0,1005.17,167.53,6,Fragrance,0.27,15,5,0.0347,201.03,Moderate,4,1,1,411,6,Lost Customers,3857.36,Silver Tier 🥈,3,At-Risk Customers ⚠️
